STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
21,007,00516850,0500000US21007,21007,Ballard,06,639387454,69473325
21,017,00516855,0500000US21017,21017,Bourbon,06,750439351,4829777
21,031,00516862,0500000US21031,21031,Butler,06,1103571974,13943044
21,065,00516879,0500000US21065,21065,Estill,06,655509930,6516335
21,069,00516881,0500000US21069,21069,Fleming,06,902727151,7182793
21,093,00516893,0500000US21093,21093,Hardin,06,1614569777,17463238
21,099,00516896,0500000US21099,21099,Hart,06,1068530028,13692536
21,131,00516912,0500000US21131,21131,Leslie,06,1038206077,9189732
21,151,00516919,0500000US21151,21151,Madison,06,1132729653,15306635
21,155,00516921,0500000US21155,21155,Marion,06,888463701,9891797
21,179,00516936,0500000US21179,21179,Nelson,06,1081354961,16997384
17,091,00424247,0500000US17091,17091,Kankakee,06,1752121058,12440760
17,187,01785134,0500000US17187,17187,Warren,06,1404747944,1674135
17,197,01785190,0500000US17197,17197,Will,06,2164927644,34548925
18,027,00450343,0500000US18027,18027,Daviess,06,1112374406,19124393
18,061,00451677,0500000US18061,18061,Harrison,06,1254889433,5193186
01,001,00161526,0500000US01001,01001,Autauga,06,1539602123,25706961
01,005,00161528,0500000US01005,01005,Barbour,06,2292144655,50538698
01,023,00161537,0500000US01023,01023,Choctaw,06,2365869835,19144469
01,035,00161543,0500000US01035,01035,Conecuh,06,2202007854,6632046
01,051,00161551,0500000US01051,01051,Elmore,06,1601769095,99957723
01,055,00161553,0500000US01055,01055,Etowah,06,1386373604,34568854
01,065,00161558,0500000US01065,01065,Hale,06,1667907112,32423361
01,089,00161570,0500000US01089,01089,Madison,06,2076091216,28831382
01,113,00161583,0500000US01113,01113,Russell,06,1660577613,15641643
01,117,00161584,0500000US01117,01117,Shelby,06,2034112797,62537787
02,016,01419965,0500000US02016,02016,Aleutians West,05,11375510886,25186009907
02,130,01419973,0500000US02130,02130,Ketchikan Gateway,04,12579243763,4651750442
02,180,01419977,0500000US02180,02180,Nome,05,59497122355,13774270048
02,282,01419986,0500000US02282,02282,Yakutat,03,19744199346,3986129001
05,011,00063757,0500000US05011,05011,Bradley,06,1681514472,9532926
05,015,00066975,0500000US05015,05015,Carroll,06,1631600824,22431173
05,019,00066845,0500000US05019,05019,Clark,06,2243130281,43387661
05,025,00063760,0500000US05025,05025,Cleveland,06,1548253400,2500196
05,063,00069163,0500000US05063,05063,Independence,06,1978631568,19593589
05,067,00066861,0500000US05067,05067,Jackson,06,1641853231,19623382
05,121,00069178,0500000US05121,05121,Randolph,06,1689251367,9889906
06,001,01675839,0500000US06001,06001,Alameda,06,1909598013,216923745
06,003,01675840,0500000US06003,06003,Alpine,06,1912292630,12557304
06,005,01675841,0500000US06005,06005,Amador,06,1539933577,29470567
06,013,01675903,0500000US06013,06013,Contra Costa,06,1857233047,225282636
06,019,00277274,0500000US06019,06019,Fresno,06,15431404077,137345152
06,023,01681908,0500000US06023,06023,Humboldt,06,9241527430,1253763757
06,033,00277281,0500000US06033,06033,Lake,06,3254364315,188836455
06,037,00277283,0500000US06037,06037,Los Angeles,06,10510671776,1794675167
06,047,00277288,0500000US06047,06047,Merced,06,5013300944,111383846
06,057,01682927,0500000US06057,06057,Nevada,06,2480587324,41531993
06,081,00277305,0500000US06081,06081,San Mateo,06,1161960635,757110545
06,085,00277307,0500000US06085,06085,Santa Clara,06,3343896477,33589866
