"type","description","IO","analyses"
"ergo:buildingInventoryVer5","Building Inventory","input","capitalshocks"
"ergo:buildingInventoryVer6","Building Inventory","input","capitalshocks"
"ergo:buildingInventoryVer7","Building Inventory","input","capitalshocks"
"incore:buildingsToSectors","Mapping of buildings to economic sectors.","input","capitalshocks"
"incore:failureProbability","Failure probability of buildings.","input","capitalshocks"
"incore:capitalShocks","Aggregation of building functionality states to capital shocks per sector","output","capitalshocks"
"ergo:buildingInventoryVer4","Building Inventory","input","residentialbuildingrecovery"
"incore:dfr3MappingSet","DFR3 Mapping Set Object","input","residentialbuildingrecovery"
"incore:sampleDamageState","Sample damage states","input","residentialbuildingrecovery"
"incore:socioDemograhicData","Socio-demographic data with household income group predictions","input","residentialbuildingrecovery"
"incore:householdFinancialResources","Financial resources by household income groups","input","residentialbuildingrecovery"
"incore:buildingRecoveryFactors","Delay impeding factors such as post-disaster inspection, insurance claim, and government permit based on building's damage state. Provided by REDi framework","input","residentialbuildingrecovery"
"incore:buildingRecovery","CSV file of residential building recovery percent","output","residentialbuildingrecovery"
"incore:epnNetwork","EPN Network Dataset","input","epnfunctionality"
"incore:sampleFailureState","CSV file of failure state for each sample. Output from MCS analysis","input","epnfunctionality"
"incore:buildingInterdependencyDict","JSON file of interdependency between buildings and substations and poles","input","buildingfunctionality"
"incore:funcSample","CSV file of functionality samples","output","buildingfunctionality"
"incore:funcProbability","CSV file of functionality probability","output","buildingfunctionality"
"ergo:buildingInventory","Building Inventory","input","buildingeconloss"
"ergo:meanDamage","A CSV file with building mean damage results for either Structural, Drift-Sensitive Nonstructural, Acceleration-Sensitive Nonstructural or Contents Damage component.","input","buildingeconloss"
"incore:buildingOccupancyMultiplier","Building occupancy damage multipliers. These percentage multipliers account for the value associated with different types of components (structural, acceleration-sensitive nonstructural, drift-sensitive nonstructural, contents).","input","buildingeconloss"
"incore:buildingEconomicLoss","CSV file of building economy damages","output","buildingeconloss"
"ergo:buriedPipelineTopology","Pipeline Inventory","input","pipelinerestoration"
"ergo:pipeline","Pipeline Inventory","input","pipelinerestoration"
"ergo:pipelineDamageVer2","pipeline damage results with repairs","input","pipelinerestoration"
"ergo:pipelineDamageVer3","pipeline damage results with repairs","input","pipelinerestoration"
"incore:pipelineRestorationVer1","CSV file of pipeline restoration times","output","pipelinerestoration"
"incore:epf","Electric Power Facility Inventory","input","epfdamage"
"ergo:epf","Electric Power Facility Inventory","input","epfdamage"
"incore:epfVer2","Electric Power Facility Inventory","input","epfdamage"
"incore:epfDamageVer3","A csv file with limit state probabilities and damage states for each electric power facility","output","epfdamage"
"incore:epfDamageSupplement","additional metadata in json file about applied hazard value and fragility","output","epfdamage"
"ergo:buildingDamageVer4","CSV file of building structural damage","output","exampleanalysis"
"incore:multiobjectiveBuildingRelatedData","A csv file with building related data required to evaluate retrofit strategies","input","multiobjectiveretrofitoptimization"
"incore:multiobjectiveStrategyCosts","A csv file with strategy cost dataper building","input","multiobjectiveretrofitoptimization"
"incore:multiobjectiveOptimalSolutionX","Optimal solution for decision variable x","output","multiobjectiveretrofitoptimization"
"incore:multiobjectiveOptimalSolutionY","Optimal solution for decision variable y with initial and final retrofitted strategies","output","multiobjectiveretrofitoptimization"
"incore:socialVulnerabilityFeatureAverages","A csv file with national vulnerability feature averages","input","socialvulnerability"
"incore:socialVulnerabilityDemFactors","A csv file with social vulnerability demographic factors for a given geographic type","input","socialvulnerability"
