FIPS,Abbreviation,Name,Group
2,AK,Alaska,WestCoast
1,AL,Alabama,EastCoast
5,AR,Arkansas,MidWest
4,AZ,Arizona,WestCoast
6,CA,California,WestCoast
8,CO,Colorado,WestCoast
9,CT,Connecticut,EastCoast
11,DC,DistrictofColumbia,EastCoast
10,DE,Delaware,EastCoast
12,FL,Florida,EastCoast
13,GA,Georgia,EastCoast
15,HI,Hawaii,WestCoast
19,IA,Iowa,MidWest
16,ID,Idaho,WestCoast
17,IL,Illinois,MidWest
18,IN,Indiana,MidWest
20,KS,Kansas,MidWest
21,KY,Kentucky,MidWest
22,LA,Louisiana,MidWest
25,MA,Massachusetts,EastCoast
24,MD,Maryland,EastCoast
23,ME,Maine,EastCoast
26,MI,Michigan,MidWest
27,MN,Minnesota,MidWest
29,MO,Missouri,MidWest
28,MS,Mississippi,MidWest
30,MT,Montana,WestCoast
37,NC,NorthCarolina,EastCoast
38,ND,NorthDakota,MidWest
31,NE,Nebraska,MidWest
33,NH,NewHampshire,EastCoast
34,NJ,NewJersey,EastCoast
35,NM,NewMexico,WestCoast
32,NV,Nevada,WestCoast
36,NY,NewYork,EastCoast
39,OH,Ohio,MidWest
40,OK,Oklahoma,MidWest
41,OR,Oregon,WestCoast
42,PA,Pennsylvania,EastCoast
44,RI,RhodeIsland,EastCoast
45,SC,SouthCarolina,EastCoast
46,SD,SouthDakota,MidWest
47,TN,Tennessee,MidWest
48,TX,Texas,MidWest
49,UT,Utah,WestCoast
51,VA,Virginia,EastCoast
50,VT,Vermont,EastCoast
53,WA,Washington,WestCoast
55,WI,Wisconsin,MidWest
54,WV,WestVirginia,EastCoast
56,WY,Wyoming,WestCoast
60,AS,AmericanSamoa,WestCoast
66,GU,Guam,WestCoast
69,MP,NorthernMarianaIslands,WestCoast
72,PR,PuertoRico,EastCoast
78,VI,USVirginIslands,EastCoast
,,,
,,,
