guid,Retrofit_Cost
79008971-a534-4e45-9e40-43a2a904e59b,16507933.11
2f8610f1-40de-44db-b3ea-1a0377e3e108,3400556.08
3dab0b4b-42eb-4df6-a5e1-c1882df41704,7750299.04
2262ceaa-9bfd-45ae-82eb-bfecfce0bc05,3944404.62
8e354c98-b37c-4548-98b9-e8b1620e6cfe,4840539.48
d3637889-c05e-4bcf-88d3-273ea2d839d2,3917878.61
c925ef03-4786-4161-b2ee-55b4f727e6b1,3684501.99
87886606-1cf0-436a-a4c0-790cb18e6bb4,4385415.87
66cb003a-d2fb-4834-ba96-271e85bf1cb6,12459384.5
3f68dee3-4132-4d6a-a53c-4989499ae63c,8344455.53
e67bb5b4-4877-4f67-94dc-20b3ed7b66ab,676217.25
7d9d9cbe-9b81-4a16-89be-5bc1af1e4982,741813.59
bf460561-ab8c-4913-bdc9-1abeee1c0eb4,2269476.56
0813b932-3978-453c-aebe-d6bae078f6c1,2130443.68
ee294585-848a-4144-8ff1-ef2eae2580a4,1272987.14
e89d271f-e9b0-4599-ad65-99f8f285e2fc,665371.64
036feca9-2cb1-4844-8bf8-36942fb59261,760630.07
0f9042df-1fa1-4bc9-9cd4-f14534b97039,1535111.16
65fc43b9-3ac7-4a02-93b5-a4d2591e3480,1195891.84
99562403-c556-42db-b096-e6ef5522c8fe,716202.27
30581b7a-7f95-4197-8525-52f8b3a918d3,663019.58
d5583d86-3ea3-490b-adc1-f5a819954bea,2642931.42
177a50b2-7d0b-466d-b15f-90603b533d05,621475.47
f11f37f6-948e-47ca-8a24-1cd907004fa6,608506.92
3c4f879c-d11c-4f81-a88d-c57ffd586f00,750176.47
3e0284a8-3860-4c1e-8576-531b6e2eb93a,1110825.67
44bed902-b36b-430b-91f7-298f3c02fdcc,1848327.15
3fbf48eb-ff38-462a-9fa8-18fbf1312501,673473.18
4665bec2-3f61-44e5-9390-5b4f3e7f885a,3117916.87
31b707e3-2ea0-4e75-973b-5ee4ff15574b,649429.9
5488f7b9-23fc-4705-916d-c3ab8fd26e06,3012335.51
05a215cb-c3f4-41d4-8c65-f2187278b0d1,1156298.83
f912c2b1-860d-4fd3-9112-6b7398fc3211,1366285.52
3ff8d13b-286d-4e71-9f92-2c5f1a0906ad,1113569.74
8bc61b2f-52a5-4c13-a82f-e9326f745dd7,1517340.04
d97ffd5a-58a7-4c8f-9a02-ac5c11154f45,3255643.05
a76fd7df-f5b7-4e67-ae78-781e2224c099,1674666.72
f95e0aac-52aa-48b7-8807-8c103f50759d,1300689.18
a32060cb-259c-499e-b94c-c8066854df98,1183216.85
0b9c4b36-591d-4f56-a56e-0404339b31f5,884505.23
76569fac-1fc5-47b8-8ed4-a5304d799938,762982.13
9a4bebde-4f36-41fb-8570-e9f9a4f07833,1058427.0
95b1babf-05d1-4f88-94ae-c51d1cb76537,753835.23
6be55f60-cd15-4858-bb1a-53d53684c746,1582021.69
0b7438fe-bcba-4b02-8bce-2196993680cd,1235876.86
5acc3aa2-7c65-4e89-ba50-e07109549d11,2325533.99
13c3839e-5c55-4163-ba00-63cbeb73d64f,918479.43
7666aabc-138c-42e9-a8b4-8e1c7c9e5648,676217.25
0a295abd-b93f-4f62-b251-61a4298e6fe9,675694.57
5e6d79dd-6cc9-4573-beed-aa08ce36f18d,1004329.62
8efe7400-11de-4889-8966-b79adbb2c2c7,918218.09
5edad9cb-3e3e-49c7-aaeb-d7e72d15fc72,345099.47
b646b6a8-116b-4718-946f-da8d6e4ea560,845304.23
fcfaa571-4eb8-495a-9545-b81d1edf9933,1620700.01
789e5e5e-100c-481c-a701-b8c50f64def6,1317284.27
6281719e-b104-487f-872a-0c2d529248a4,1760124.9
9501b6f0-77b5-4a1f-bbb5-d3c1fa911c1c,207045.72
f40558c4-eb44-469d-87c9-4e466c8bd82c,118779.03
d941b38c-f1e7-42e9-81dc-d2a134d02612,265390.77
839160f1-a48d-4bfa-8c3f-d4f83c0f9fc5,175620.48
e73fc66b-4143-4375-a9bc-95249d996713,430688.32
ee619d26-7038-4a86-82cf-981b23c2974a,32139.45
082f193a-9608-40d2-be1e-fd67292bec79,427736.61
0f0b6287-9514-4962-afb5-5fd17ca37603,157990.77
c06e85c4-7739-4c5e-9fc9-6d4225bde64a,213924.69
177b1f7b-1309-4da8-9d62-74bdb8feeec0,156863.07
d4d1aaeb-080e-471a-a9e1-6f93bfdcacbb,623426.57
f16a485f-52bd-44b9-b257-ba17700b0469,29771.28
8ca000f5-04fb-427b-b85c-2471cf1b2af6,315960.06
2711dca7-092d-418a-8cec-d714af8301e4,448590.11
803247a9-e683-406e-b067-771aea21979c,326152.32
aad575c9-3517-4862-8174-04091d2374a5,175244.58
ac917fae-52dd-4c30-b298-7787cdfd1f2e,85479.66
1070af1f-a6cc-42c9-b8b3-4511369ad9a5,189002.52
5bf2c0de-7e1e-4996-90d8-c0e4e96d6088,114123.24
c4275ac7-5050-437c-a1dd-c7e6bd4d5dfd,210640.04
0856aa8a-7fca-43ad-97c2-2f682e9e6b2b,45671.85
90eafe5b-30a8-4fd6-9009-ce2db799153e,65970.45
9d54414d-17c9-45a9-9408-f2d648d33c9c,164982.51
234b454a-27c9-4024-8a9b-c3ab2d08f2a6,160133.4
428b3168-9fe4-42a5-aaf0-fc7c8b61b695,64278.9
ca6ef28d-e564-4c2d-bcaf-05602efbd0ef,44205.84
565b248e-f6b0-47ed-9cf1-3ade8202be49,145473.3
800c2980-f730-4628-a43a-0cb38c182a86,34169.31
03014988-4de2-40a2-851f-cb53a0ad9485,132955.83
73edbacf-07c2-41f3-8ad4-37fc8e96129d,109161.36
50cc927b-dbb7-41a2-9432-32a7b4ae376c,57625.47
bb00da4f-19eb-4f06-a6d2-783edbeda712,147164.85
cde6ef6a-ca9b-4f4c-a67f-b60c53604b21,143781.75
8215f96f-5f12-42a3-abf5-b7c0bbe5e4c7,26134.0
c5597ba3-8c41-48a3-a681-b7c6468dbe9e,58640.4
14d0b654-d91d-4680-9563-33ba0c7a4af1,45784.62
b6667702-4492-4db6-a696-0f73508e6b5b,87156.89
66c89078-ca84-45b4-be56-bf814f2728dc,291655.44
dc6d4fff-99f7-4e00-9f17-39aa1c290ad3,95650.44
a79ddf6d-c473-4d9f-b17f-088d90a2ec4e,108259.2
b2a498d8-304b-4fdb-a134-ffea8ce8fb00,60895.8
a84b344f-290e-45f1-b84b-9f72d70e4be3,339437.7
413b22f0-6be6-438c-abdf-02ff58bec2c1,154043.82
23b40d81-c670-4e87-bc8e-1421d46b4af1,319226.81
18b97976-17e8-4ede-a499-e14226226de4,259483.77
1339c8fe-5864-47f2-8705-7a80e414fefd,311647.95
9652ee62-7a28-4bbf-86a0-033479ac1571,318236.94
0a652d22-45af-479b-8025-b3175a26f45c,41048.28
691a2bb3-b077-4a39-8591-3c31a13099dd,254521.89
15e93b84-6ce1-4398-ab0c-eacda5d62b32,210767.13
399c180b-6bdf-4de9-8357-1e3dbe0fe4f9,203888.16
398cbc67-cad1-47a5-9e23-cfd9b1fb85fa,196670.88
4a8af40e-8c15-4700-a2c2-1fd51693fd44,134982.11
3fbe9c09-156d-4aa5-aa63-d21b337db206,47363.4
2c1cc765-166b-40d7-a542-a35ab649b836,208026.64
a7760790-bff7-40b8-8542-0087589f9aa1,90162.3
9bf2c4da-03e3-4a05-aef6-cf66d867a2ea,263881.8
86478b9c-9f35-4fdf-876b-59af67c9f6c3,40935.51
bbffb2fe-5f7b-4ad4-98a4-3232a89d94d5,331994.88
80c077f1-b070-433e-96e0-7eb6771f20b1,147728.7
6ab32cd8-8671-4a3f-9989-b52422f4c878,448198.1
