struct_typ,guid,retrofit_cost
URML,de0b828b-c71b-481f-b80a-0b64ee321bc3,6356825.23
URML,9c29b629-bd84-4b2f-bde9-936d5f54b8e1,4605769.23
URML,2be8203b-2929-4ff2-9726-b0657e57b202,4521954.23
URMM,8b5a9215-ceb2-4637-8caa-5c5e6d8333f2,2521147.23
URMM,cae7ffcd-8088-4249-b067-d6fe4974cc8c,2225250.23
URMM,2b5a23b2-bc6f-4e56-a64e-c2ac71eae64c,2222069.23
URMM,f8003417-ccc5-405e-b57c-67b1be64d5cd,2222069.23
URML,d4da7b9b-5f37-4220-903a-943ba029dae3,2056698.23
URML,900f6f32-86a8-4096-858e-53e8be4ab27a,1832455.23
URML,ab76d82c-bcf7-4d88-bc36-1d3c5920f848,1772003.23
URML,db05c50c-9fcd-476b-84d1-c21d4f66ade1,1770269.23
URMM,eeaf5e21-fe04-4575-a89b-ccfb2fa8436f,1753676.23
URMM,b93d60c3-f703-4a87-a80f-4bd0b947d93f,1729327.23
URMM,4193203f-f0a2-47d2-9ea7-70914d9273df,1729327.23
URML,3da494fe-dada-4c1d-81fd-f8e8539103ac,1409354.23
URML,87714904-1df1-4329-8113-8959b9daa1a1,1406173.23
URMM,fd6aec37-9bfa-42e1-ad58-ccaa43dfe006,1367779.23
URMM,05925915-a0f7-4abf-919e-a90fac374f1e,1366984.23
URMM,57e6b277-2827-4c28-a924-41664689e4b7,1365537.23
URML,5ef11b71-f056-49f6-8667-9c1e3785e7d4,1361574.23
URMM,03391f51-c0c6-4ff5-a4f5-0cf22d157ce6,1356827.23
URML,cfa74a50-ba38-4831-8789-6f640bd3ef96,1252601.23
URMM,4f2ab780-f288-4846-91c6-b6a10fd4b39f,944158.23
URMM,6316afb3-424c-4cd8-a8e1-afce25969202,943219.23
URMM,1368d5ed-16ea-4d34-88c1-dccb0207c1bb,940833.23
URML,4a0da3a1-ad2a-465a-a4e4-225894c0aa3e,917215.23
URML,596702c1-4f18-41dc-904b-27238ff434cb,915064.23
URML,0bfff98e-9d97-4d12-9401-f33abe8479ff,913412.23
URML,7b7c59ac-a2e8-45c3-a4f9-ea367e3a439f,904049.23
URML,3bcc14fa-ff3c-49ec-a83d-30313104133a,893318.23
URML,68e567cb-ef15-4a22-8772-bf070a10717d,850714.23
URML,3bf25084-4487-415b-9dcc-4471be49477f,848327.23
URML,25036169-5d33-4d24-b363-1f7a22ff107b,845797.23
URMM,7fb61669-791e-47c4-8d60-39cea517103e,827028.23
URMM,eeb57af7-1813-442b-b277-2a9b6cbbef21,817370.23
URMM,8ade61fd-8498-432e-b01f-3185764c5145,814044.23
URMM,bde2562d-1822-4507-bea5-2695761873f6,810248.23
URMM,9524b7d2-d72b-4ca3-92bb-f55ba8fc9c30,807275.23
URMM,ad423a09-87d7-44f2-807c-6e9fbff310f1,804093.23
URMM,ac2488f4-f52c-49e2-a734-8306651bbd8b,798382.23
URMM,99b0d79b-bd8e-48a2-889e-e38a5476b7f4,798224.23
URML,84729f05-63d5-4e39-93cf-624c663ac0fb,792928.23
URMM,51cc71c5-6da5-4523-8f24-6f58c279f7e9,777148.23
URML,99b22f0f-9069-4dc9-b921-fa72035383ee,765679.23
URMM,1e02f53b-1535-4535-be13-e087eda0a053,689174.23
URMM,5b8363c9-23a9-486b-81d2-a7fd2f54a761,684113.23
URMM,120ce23b-a4e4-4030-a90b-45bf7bf8bb5b,681727.23
URMM,0f5b6d44-cfb0-4b87-a2a6-9dfac5e3af0c,678401.23
URMM,bbe5101e-3173-4385-b0ac-e5c603cf991e,676999.23
URMM,28b5a575-4673-411c-9512-af41d961964e,676811.23
URMM,c6833235-be9a-445d-9dea-3eed35b21ef9,666169.23
URML,6e06ddf6-5ffa-4d3e-8e17-f3ae930b6271,661505.23
URMM,2ccaab57-5cfc-4534-bbea-62ca4f01e9a7,661254.23
URML,d61949bd-848a-45db-ac66-1c65c89684f3,658205.23
URML,0e42496d-1fc9-44b9-9c9a-87d45a8c7647,619211.23
URMM,8a8ea01a-e2e8-4fdc-930a-e272a86162b7,608807.23
URML,a0b5cac2-ed4d-4481-beb6-3d5705c5ab4b,600145.23
URML,3f2a5396-1eed-413a-8b4c-f2d663720009,596819.23
URML,2adb4d2b-1026-4baf-a650-06f5f9399e5d,596023.23
URML,003d0f1a-4081-46d4-9ca1-984b327eb48a,593493.23
URML,58b3763d-e702-4783-9143-790b1fdb3fdd,593254.23
URML,d326ce11-d241-4360-8eee-8f4d0dcd2fa0,591902.23
URML,ffa75231-5361-4000-984e-0936daa6a606,590963.23
URML,ecc4f5e7-3585-44ed-99d0-4bb7b58d8178,590724.23
URMM,14f276ba-4404-4c49-adc2-b5ea54f7b736,588563.23
URMM,1075eaee-d81a-4648-8b3c-18ef7aad3584,584229.23
URMM,6d5e406f-5e51-492d-aee1-d89e560f2c63,582056.23
URML,df456627-cc26-47af-a6de-cfeaff200315,570923.23
URML,e41615b6-143e-4faf-bbd6-3c8fbb0f329a,569504.23
URML,e4492476-f1df-4820-b4ea-219be7bc6402,568012.23
URMM,fbfb6872-c9fb-408f-a5be-55f0f7434dd5,558656.23
URML,1df88530-b80f-4901-a869-8ef142c07918,557268.23
URMM,0323ea00-6ffc-458e-8ae8-2e3570c78125,543905.23
URMM,0d06bfe4-64da-4452-856d-2e9ab307d6b5,527803.23
URML,5902a384-c476-4378-87b4-d26d6ab4a3a3,526687.23
URMM,db87449b-4e24-4186-9365-99cd49b75926,524622.23
URML,6de5ce02-aecc-4fb9-a301-5baf35ccc768,521930.23
URML,4f0178c6-6710-4c84-8e4d-d65fcd2fef23,513161.23
URML,2832bf05-a774-4467-9be6-12a0c31a51b5,508641.23
URML,7b09ff90-bffa-4f17-9427-8d4d098b179b,506816.23
URML,23a2ce6b-8c68-4f7b-a8bf-3d2a3c29ff05,503778.23
URML,e7ed9e20-9ae6-456a-bd23-5751d63df825,502661.23
URML,23e00daf-9263-4d0e-9bfe-df172780f2c9,501722.23
URML,4cd8bbbc-9109-4cef-b328-98ca295a4b05,496708.23
URML,ac056829-ff5c-42f0-8eed-4082a47d6eb2,495680.23
URML,222a9e8d-6b46-4f4f-9147-2c2ad13048d0,494740.23
URMM,c8b6fd97-addd-4129-a8e0-a3319085264b,490027.23
URMM,fedf4576-5aa3-4dce-bbaa-fa279545c75d,487561.23
URMM,06614f2c-1ba8-4cbd-b62e-dd6d04897061,482484.23
URML,6fd169e5-020c-4a5f-9909-1a99deaed32e,481138.23
URMM,db6b5dc3-7fd9-4977-a013-b9f8b711a539,479212.23
URML,36e73e35-d319-4b72-a73a-79af08a08661,477957.23
URML,21eb12d0-16fe-425b-9fae-5983a2690cef,476519.23
URML,06862ba2-6287-4efb-be58-897f0a422d40,476222.23
URML,2eb0641b-8fe4-4890-ab38-da873740a79e,475426.23
URML,6bb212cc-e1b7-4fe4-91ac-a59b4d933a87,474755.23
URMM,e1c8c6e7-ecea-4593-8c07-1f5fec6d694a,473377.23
URML,6f24f6ab-1a50-4fcf-81ff-ac4f37e0b97b,472245.23
URML,ade723b7-1748-4c0e-8845-eec7608f724a,471574.23
URMM,16bd0138-f1c0-4ce5-b493-e745abdda368,456737.23
URML,0692d21d-3b57-4a94-b099-24a47f2903be,453532.23
URML,53abb5bd-2353-430f-8c41-47e1973335f3,453387.23
URML,173438df-21ff-4c58-bbe7-58e12cd751d9,451306.23
URML,f69c3dfa-62f4-4c5b-ab16-124ad523bc8e,451001.23
URMM,a8c4cc45-df71-4491-9008-b03e91296b32,449511.23
URMM,35e3a47b-cf1f-4d85-a009-c5c6f2582241,448254.23
URML,395fd4c4-d8ae-41a0-8a0f-85df8a2d69d3,447975.23
URML,35c79ead-370d-444a-ad8b-7c6c1d0a6286,447179.23
URML,93f8fa60-a849-4c0f-b46b-d545238879a6,446530.23
URMM,6c79b5b4-8b75-4ce8-9943-bd9c7b5d93e0,441747.23
URML,914fcde7-cfc1-4a4b-8910-b5dca8a8a39b,440818.23
URML,04ffb38b-292e-44f4-a56c-bafcc41e4493,440429.23
URML,a26ed1f6-8349-4e8c-a0da-e1d2d5d6ca25,439084.23
URML,0ee6a5ce-bc16-41c9-b9dd-7bfa7604fb58,438838.23
URML,70046feb-8460-4e22-bc8f-a512a2a12a2c,437548.23
URML,b5704893-0696-4f22-8933-e104eafb6571,437497.23
URML,7468e18e-b07a-47ac-ba1e-eb1c2f8f3e16,435018.23
URML,bafb87ba-ed91-4ed9-b4d9-72cdd7adf739,431986.23
URMM,ff285276-7aaf-49f8-b881-26707c0e73ae,427938.23
URMM,83fc4242-d6bd-4736-8650-e841255cdce6,420215.23
URML,0ba188f1-593a-40b3-bef7-2a3ce1f0d88d,405052.23
URML,e763019a-0943-4795-a21b-14930e3117c7,404917.23
URMM,4cc65694-607f-47ee-b6a0-beaaad48ca37,404264.23
URML,17de0d02-e276-44bd-b08f-747547114951,403854.23
URMM,36d04e00-b633-4df4-a4ab-4709124a7ce0,402950.23
URML,a620469f-6660-4320-a7ba-33afdca7a263,401874.23
URML,45439e2f-8317-43c7-ad0b-cc0b4d604cbd,400673.23
URMM,98362c9c-7186-4363-bec6-4af7bec947a6,397823.23
URML,4f966717-6db7-4c01-b1c4-e131452889ec,395274.23
URML,d247d942-d6fd-4886-8a4c-84328e170508,395099.23
URML,9a907c06-8e6c-4fd2-9dc2-68557924b0d8,393684.23
URMM,3aac3797-ba46-463d-9804-6ea04e4bb01a,393469.23
URML,8b0f29fb-a74f-4aa9-86a3-6234ad315d8b,393190.23
URML,d6dd8624-f0c5-4443-a7b8-feb1d12df1ef,392719.23
URMM,3e4508cd-ef17-42a0-8de4-465a27231f2a,392401.23
URML,a2b5195d-d26e-4500-86c1-f3da62134166,392041.23
URML,d83e47cb-8249-48f6-b415-1e0a14157496,391918.23
URML,d8f2a304-78cd-44e5-a439-cb68aefca8e0,391297.23
URML,2b3ed1e6-fdcb-4fa7-9dea-f5ede1aa94a1,390389.23
URMM,e84a67d7-d596-4e9a-a45b-b22a19294b99,390376.23
URML,c872faf3-d100-4314-a1d5-2d09b60be466,389838.23
URMM,2b99bdbe-6681-442a-b473-4528420ec9ec,389348.23
URML,efe33004-0f3e-4cd5-b137-4acbe0460359,389186.23
URML,ac8a4dcb-73cd-4600-a196-b331c17a4e09,388785.23
URML,dc5075b6-f702-4aa0-86df-2f4b8ec7b45e,388247.23
URML,5528acdd-06c5-448c-9a56-723b707a76a7,387972.23
URML,ada17748-d8a0-4e2f-a377-a2fe4b9c3cd0,385585.23
URML,25822fd3-09aa-4e29-b389-8b9371b89b62,385585.23
URML,9d25949c-efe9-4bc9-8127-9ef0dbfce42b,385585.23
URML,d03186a2-71fd-4049-9748-3d25dd4b36f4,385065.23
URML,6404cd4b-1dac-414b-b360-d42e38b76862,383055.23
URML,cda3d6c0-7be3-433c-a485-0d3153fd3541,380945.23
URML,5414532d-a381-4408-9497-965799a327f1,378496.23
URML,f74807e9-1b24-47ad-9dee-32c95ae336da,376309.23
URML,434b40c8-1c5e-46ab-b804-e7ee1fbe639b,375657.23
URML,4bf8cec9-6ece-4ac4-966b-7d362eb585f5,374960.23
URML,bf19f976-cf05-4508-b1d8-5584920d7877,374067.23
URML,650e641f-51f0-4808-bbe0-ecd97a06089d,373225.23
URMM,5fc41f26-2c58-4eff-91f3-7144b4c6a6d8,369384.23
URML,df811d4a-d623-4806-be97-ebabde6f1ea7,366411.23
URML,56861714-1fb6-4f4c-a08d-38010ce692f1,364979.23
URML,dc727862-138c-426a-96ec-5269423b9e9a,364582.23
URML,4d6bbfc2-362b-4e36-a150-5d9668481d44,363642.23
URML,c989789c-8ea8-4ab9-86de-f786856e6381,362847.23
URML,f0bc41fb-fd8d-4aff-8777-5d539db9699f,361653.23
URMM,c0a25294-5e44-4c8b-9145-f2e49588237b,361277.23
URMM,d4808cd9-b240-4b68-90e2-c188cd30f98f,360293.23
URML,3df7e2f7-8dc6-42ef-90dc-746fe5d90c57,359737.23
URML,7ecf5d0e-b4cd-49ae-aeb2-0e6a75d5a623,358370.23
